what,kind,bundleId,bundleVersion,description,time
stopped,bundle,org.eclipse.jst.server.tomcat.ui,1.1.102.v20090424,"org.eclipse.jst.server.tomcat.ui",1286220815886
stopped,bundle,org.eclipse.jst.server.ui,1.1.0.v20090421,"org.eclipse.jst.server.ui",1286220815887
stopped,bundle,org.maven.ide.eclipse.launching,0.9.8.200905041413,"org.maven.ide.eclipse.launching",1286220815888
stopped,bundle,org.codehaus.groovy.eclipse.codeassist.completion,2.0.0.xx-20100115-0900-e35-RELEASE,"org.codehaus.groovy.eclipse.codeassist.completion",1286220815888
stopped,bundle,org.codehaus.groovy.eclipse.codebrowsing,2.0.0.xx-20100115-0900-e35-RELEASE,"org.codehaus.groovy.eclipse.codebrowsing",1286220815889
stopped,bundle,org.codehaus.groovy.eclipse.cstviewer,2.0.0.xx-20100115-0900-e35-RELEASE,"org.codehaus.groovy.eclipse.cstviewer",1286220815889
stopped,bundle,org.codehaus.groovy.eclipse.ui,2.0.0.xx-20100115-0900-e35-RELEASE,"org.codehaus.groovy.eclipse.ui",1286220815889
stopped,bundle,org.codehaus.groovy.eclipse.refactoring,2.0.0.xx-20100115-0900-e35-RELEASE,"org.codehaus.groovy.eclipse.refactoring",1286220815890
stopped,bundle,org.codehaus.groovy.eclipse.core,2.0.0.xx-20100115-0900-e35-RELEASE,"org.codehaus.groovy.eclipse.core",1286220815891
stopped,bundle,org.eclipse.mylyn.java.tasks,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.tasks",1286220815891
stopped,bundle,org.eclipse.mylyn.java.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.ui",1286220815920
stopped,bundle,org.eclipse.jdt.junit,3.5.1.r351_v20090708-0800,"org.eclipse.jdt.junit",1286220815934
stopped,bundle,org.eclipse.jdt.apt.ui,3.3.200.v20090528-1135,"org.eclipse.jdt.apt.ui",1286220815945
